section,pdf_page,command,wire_prefix_hex,c_api,node_api,web_public_api,availability,c_source,node_source,web_source,notes
2.36,28,ESC c 4 n,1B 63 34,munbyn_set_stop_print_sensors,setStopPrintSensors,setStopPrintSensors,C/N/W,src/munbyn_printer.c:1972,packages/node/lib/index.js:485,packages/web/src/printer.ts:550,Select stop-print sensors
2.37,29,ESC c 5 n,1B 63 35,munbyn_set_panel_buttons,setPanelButtons,setPanelButtons,C/N/W,src/munbyn_printer.c:1990,packages/node/lib/index.js:497,packages/web/src/printer.ts:562,Panel enable/disable; PDF heading uses uppercase C erroneously
2.38,29,ESC d n,1B 64,munbyn_feed_lines,feedLines,feedLines,C/N/W,src/munbyn_printer.c:670,packages/node/lib/index.js:100,packages/web/src/printer.ts:128,Seven-line receipt feed verified; depends on line spacing
2.39,30,ESC p m t1 t2,1B 70,munbyn_open_drawer; munbyn_open_drawer_default,openDrawer; openDrawerDefault,openDrawer; openDrawerDefault,C/N/W,src/munbyn_printer.c:682; src/munbyn_printer.c:706,packages/node/lib/index.js:110; packages/node/lib/index.js:115,packages/web/src/printer.ts:141; packages/web/src/printer.ts:146,Drawer pulse; t1/t2 in 2 ms units
2.40,30,ESC t n,1B 74,munbyn_set_codepage,setCodepage,setCodepage,C/N/W,src/munbyn_printer.c:862,packages/node/lib/index.js:159,packages/web/src/printer.ts:190,Explicit selector 0..255; strict text conversion available; manual and legacy mappings separated; unit sheet pending
2.41,31,ESC { n,1B 7B,munbyn_set_upside_down,setUpsideDown,setUpsideDown,C/N/W,src/munbyn_printer.c:1233,packages/node/lib/index.js:266,packages/web/src/printer.ts:295,Upside-down text
2.42,31,FS p n m,1C 70,munbyn_print_nv_bit_image,printNvBitImage,printNvBitImage,C/N/W,src/munbyn_printer.c:1741,packages/node/lib/index.js:380,packages/web/src/printer.ts:431,Print stored NV image
2.43,32,FS q ...,1C 71,munbyn_define_nv_bit_image,defineNvBitImage,defineNvBitImage,C/N/W,src/munbyn_printer.c:1754,packages/node/lib/index.js:385,packages/web/src/printer.ts:436,Replaces NV images and resets; wrapper rejects n=0
2.44,34,GS ! n,1D 21,munbyn_set_text_scale,setTextScale,setTextScale,C/N/W,src/munbyn_printer.c:1265,packages/node/lib/index.js:283,packages/web/src/printer.ts:312,Width/height factors 1..8
2.45,35,GS $ nL nH,1D 24,munbyn_set_absolute_vertical_position,setAbsoluteVerticalPosition,setAbsoluteVerticalPosition,C/N/W,src/munbyn_printer.c:1833,packages/node/lib/index.js:422,packages/web/src/printer.ts:473,Page-mode absolute vertical position
2.46,35,GS * x y ...,1D 2A,munbyn_define_downloaded_bit_image,defineDownloadedBitImage,defineDownloadedBitImage,C/N/W,src/munbyn_printer.c:1705,packages/node/lib/index.js:370,packages/web/src/printer.ts:421,x*y<=912; exact x*y*8 bitmap bytes
2.47,36,GS / m,1D 2F,munbyn_print_downloaded_bit_image,printDownloadedBitImage,printDownloadedBitImage,C/N/W,src/munbyn_printer.c:1728,packages/node/lib/index.js:375,packages/web/src/printer.ts:426,Print volatile downloaded image
2.48,37,GS ( A ...,1D 28 41,munbyn_execute_test_print,executeTestPrint,executeTestPrint,C/N/W,src/munbyn_printer.c:1979,packages/node/lib/index.js:490,packages/web/src/printer.ts:555,"Hex-dump mode, not a self-test receipt"
2.49,37,GS :,1D 3A,munbyn_macro_define_toggle,macroDefineToggle,macroDefineToggle,C/N/W,src/munbyn_printer.c:2020,packages/node/lib/index.js:512,packages/web/src/printer.ts:577,Start/end macro definition
2.50,37,GS B n,1D 42,munbyn_set_inverted_text,setInvertedText,setInvertedText,C/N/W,src/munbyn_printer.c:1250,packages/node/lib/index.js:273,packages/web/src/printer.ts:302,White/black reverse text
2.51,38,GS H n,1D 48,munbyn_set_hri_position,setHriPosition,setHriPosition,C/N/W,src/munbyn_printer.c:1473,packages/node/lib/index.js:322,packages/web/src/printer.ts:363,HRI below CODE128 visibly verified
2.52,38,GS L nL nH,1D 4C,munbyn_set_left_margin,setLeftMargin,setLeftMargin,C/N/W,src/munbyn_printer.c:1185,packages/node/lib/index.js:249,packages/web/src/printer.ts:278,Left layout margin
2.53,39,GS P x y,1D 50,munbyn_set_motion_units,setMotionUnits,setMotionUnits,C/N/W,src/munbyn_printer.c:1150,packages/node/lib/index.js:239,packages/web/src/printer.ts:268,Motion-unit scale
2.54,40,GS V m [n],1D 56,munbyn_cut_paper; munbyn_feed_and_cut,cutPaper; feedAndCut,cutPaper; feedAndCut,C/N/W,src/munbyn_printer.c:631; src/munbyn_printer.c:653,packages/node/lib/index.js:90; packages/node/lib/index.js:95,packages/web/src/printer.ts:118; packages/web/src/printer.ts:123,Partial cut verified; PDF specifies no full cut
2.55,40,GS W nL nH,1D 57,munbyn_set_print_area_width,setPrintAreaWidth,setPrintAreaWidth,C/N/W,src/munbyn_printer.c:1201,packages/node/lib/index.js:254,packages/web/src/printer.ts:283,"Layout width, not hardware width configuration"
2.56,41,GS \ nL nH,1D 5C,munbyn_set_relative_vertical_position,setRelativeVerticalPosition,setRelativeVerticalPosition,C/N/W,src/munbyn_printer.c:1841,packages/node/lib/index.js:427,packages/web/src/printer.ts:478,Page-mode signed relative vertical position
2.57,42,GS ^ r t m,1D 5E,munbyn_execute_macro,executeMacro,executeMacro,C/N/W,src/munbyn_printer.c:2027,packages/node/lib/index.js:517,packages/web/src/printer.ts:582,Mode 0/1; delay in 100 ms units
2.58,42,GS a n,1D 61,munbyn_set_asb,setAsb,setAsb,C/N/W,src/munbyn_printer.c:1958,packages/node/lib/index.js:475,packages/web/src/printer.ts:540,ASB enabled/disabled; no stream decoder
2.59,44,GS f n,1D 66,munbyn_set_hri_font,setHriFont,setHriFont,C/N/W,src/munbyn_printer.c:1499,packages/node/lib/index.js:327,packages/web/src/printer.ts:368,HRI font A/B
2.60,44,GS h n,1D 68,munbyn_set_barcode_height,setBarcodeHeight,setBarcodeHeight,C/N/W,src/munbyn_printer.c:1419,packages/node/lib/index.js:312,packages/web/src/printer.ts:353,1..255 dots; 48-dot setting used in verified receipt
2.61,44,GS k ...,1D 6B,munbyn_print_barcode; munbyn_print_barcode_bytes,printBarcode,printBarcode,C/N/W,src/munbyn_barcode.inc:112; src/munbyn_barcode.inc:98,packages/node/lib/index.js:332,packages/web/src/printer.ts:373,Nine PDF symbologies and aliases 65..71; length/alphabet/CODE128 validation; binary API; GS1 extensions check wire syntax; CODE128 physically verified
2.62,47,GS r n,1D 72,munbyn_transmit_status,transmitStatus,transmitStatus,C/N/W,src/munbyn_printer.c:1932,packages/node/lib/index.js:471,packages/web/src/printer.ts:528,Raw byte; selectors 1/2/49/50; PDF says serial only
2.63,48,GS v 0 ...,1D 76 30,munbyn_print_raster_image,printRasterImage,printRasterImage,C/N/W,src/munbyn_printer.c:1626,packages/node/lib/index.js:360,packages/web/src/printer.ts:406,128x64 checkerboard and raster PDF417 physically verified; C API requires caller to provide sufficient buffer
2.64,49,GS w n,1D 77,munbyn_set_barcode_width,setBarcodeWidth,setBarcodeWidth,C/N/W,src/munbyn_printer.c:1443,packages/node/lib/index.js:317,packages/web/src/printer.ts:358,2..6; width 2 used in verified receipt
2.65,49,FS ! n,1C 21,munbyn_set_kanji_mode,setKanjiMode,setKanjiMode,C/N/W,src/munbyn_printer.c:2037,packages/node/lib/index.js:524,packages/web/src/printer.ts:589,Kanji mode bitmask
2.66,50,FS &,1C 26,munbyn_select_kanji,selectKanji,selectKanji,C/N/W,src/munbyn_printer.c:2044,packages/node/lib/index.js:529,packages/web/src/printer.ts:594,Enter Kanji mode
2.67,50,FS - n,1C 2D,munbyn_set_underline_kanji,setUnderlineKanji,setUnderlineKanji,C/N/W,src/munbyn_printer.c:1104,packages/node/lib/index.js:224,packages/web/src/printer.ts:248,Kanji underline exposed in all public APIs; not physically verified
2.68,51,FS .,1C 2E,munbyn_cancel_kanji,cancelKanji,cancelKanji,C/N/W,src/munbyn_printer.c:2051,packages/node/lib/index.js:534,packages/web/src/printer.ts:599,Exit Kanji mode
2.69,51,FS 2 ...,1C 32,munbyn_define_kanji_char,defineKanjiChar,defineKanjiChar,C/N/W,src/munbyn_printer.c:2176,packages/node/lib/index.js:549,packages/web/src/printer.ts:614,c1=0xFE; c2=0xA1..0xFE; exactly 72 bytes validated before write; not physically verified
2.70,52,FS S n1 n2,1C 53,munbyn_set_kanji_spacing,setKanjiSpacing,setKanjiSpacing,C/N/W,src/munbyn_printer.c:2058,packages/node/lib/index.js:539,packages/web/src/printer.ts:604,Left/right Kanji spacing
2.71,52,FS W n,1C 57,munbyn_set_kanji_quad_size,setKanjiQuadSize,setKanjiQuadSize,C/N/W,src/munbyn_printer.c:2065,packages/node/lib/index.js:544,packages/web/src/printer.ts:609,Quadruple-size Kanji
2.72,53,ESC B n t,1B 42,munbyn_buzzer,buzzer,buzzer,C/N/W,src/munbyn_printer.c:1998,packages/node/lib/index.js:502,packages/web/src/printer.ts:567,Count/duration 1..9; duration in 50 ms units
2.73,53,ESC C m t n,1B 43,munbyn_buzzer_alarm,buzzerAlarm,buzzerAlarm,C/N/W,src/munbyn_printer.c:2009,packages/node/lib/index.js:507,packages/web/src/printer.ts:572,Count/interval 1..20; mode 0..3; interval in 50 ms units
